# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2023-08-15 20:07:47 -04:00	(nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02097517 MORGAN CREEK NEAR CHAPEL HILL, NC
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 02097517
#    TS_ID       Parameter Description
#    89562       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#

	site_no	datetime	tz_cd	89562_00060	89562_00060_cd
USGS	02097517	2022-08-16 10:30	EDT	6.67	A
USGS	02097517	2022-08-16 10:45	EDT	7.02	A
USGS	02097517	2022-08-16 11:00	EDT	7.20	A
USGS	02097517	2022-08-16 11:15	EDT	7.39	A
USGS	02097517	2022-08-16 11:30	EDT	7.39	A
USGS	02097517	2022-08-16 11:45	EDT	7.02	A
USGS	02097517	2022-08-16 12:00	EDT	6.33	A
USGS	02097517	2022-08-16 12:15	EDT	5.39	A
USGS	02097517	2022-08-16 12:30	EDT	5.10	A
USGS	02097517	2022-08-16 12:45	EDT	6.33	A
USGS	02097517	2022-08-16 13:00	EDT	7.02	A
USGS	02097517	2022-08-16 13:15	EDT	7.02	A
USGS	02097517	2022-08-16 13:30	EDT	7.02	A
USGS	02097517	2022-08-16 13:45	EDT	6.84	A
USGS	02097517	2022-08-16 14:00	EDT	6.84	A
USGS	02097517	2022-08-16 14:15	EDT	6.67	A
USGS	02097517	2022-08-16 14:30	EDT	6.67	A
USGS	02097517	2022-08-16 14:45	EDT	6.67	A
USGS	02097517	2022-08-16 15:00	EDT	6.67	A
USGS	02097517	2022-08-16 15:15	EDT	6.67	A
USGS	02097517	2022-08-16 15:30	EDT	6.49	A
USGS	02097517	2022-08-16 15:45	EDT	5.84	A
USGS	02097517	2022-08-16 16:00	EDT	5.39	A
USGS	02097517	2022-08-16 16:15	EDT	5.69	A
USGS	02097517	2022-08-16 16:30	EDT	5.84	A
USGS	02097517	2022-08-16 16:45	EDT	6.16	A
USGS	02097517	2022-08-16 17:00	EDT	6.16	A
USGS	02097517	2022-08-16 17:15	EDT	6.16	A
USGS	02097517	2022-08-16 17:30	EDT	6.16	A
USGS	02097517	2022-08-16 17:45	EDT	6.00	A
USGS	02097517	2022-08-16 18:00	EDT	6.00	A
USGS	02097517	2022-08-16 18:15	EDT	5.84	A
USGS	02097517	2022-08-16 18:30	EDT	5.84	A
USGS	02097517	2022-08-16 18:45	EDT	5.84	A
USGS	02097517	2022-08-16 19:00	EDT	6.00	A
USGS	02097517	2022-08-16 19:15	EDT	6.16	A
USGS	02097517	2022-08-16 19:30	EDT	6.16	A
USGS	02097517	2022-08-16 19:45	EDT	6.16	A
USGS	02097517	2022-08-16 20:00	EDT	6.16	A
USGS	02097517	2022-08-16 20:15	EDT	6.00	A
USGS	02097517	2022-08-16 20:30	EDT	6.16	A
USGS	02097517	2022-08-16 20:45	EDT	6.16	A
USGS	02097517	2022-08-16 21:00	EDT	6.16	A
USGS	02097517	2022-08-16 21:15	EDT	5.84	A
USGS	02097517	2022-08-16 21:30	EDT	5.69	A
USGS	02097517	2022-08-16 21:45	EDT	5.84	A
USGS	02097517	2022-08-16 22:00	EDT	5.84	A
USGS	02097517	2022-08-16 22:15	EDT	6.00	A
USGS	02097517	2022-08-16 22:30	EDT	5.69	A
USGS	02097517	2022-08-16 22:45	EDT	4.83	A
USGS	02097517	2022-08-16 23:00	EDT	4.96	A
USGS	02097517	2022-08-16 23:15	EDT	5.69	A
USGS	02097517	2022-08-16 23:30	EDT	5.84	A
USGS	02097517	2022-08-16 23:45	EDT	6.16	A
USGS	02097517	2022-08-17 00:00	EDT	6.16	A
USGS	02097517	2022-08-17 00:15	EDT	6.16	A
USGS	02097517	2022-08-17 00:30	EDT	6.00	A
USGS	02097517	2022-08-17 00:45	EDT	5.84	A
USGS	02097517	2022-08-17 01:00	EDT	5.69	A
USGS	02097517	2022-08-17 01:15	EDT	5.54	A
USGS	02097517	2022-08-17 01:30	EDT	5.39	A
USGS	02097517	2022-08-17 01:45	EDT	5.39	A
USGS	02097517	2022-08-17 02:00	EDT	5.25	A
USGS	02097517	2022-08-17 02:15	EDT	5.10	A
USGS	02097517	2022-08-17 02:30	EDT	4.96	A
USGS	02097517	2022-08-17 02:45	EDT	4.83	A
USGS	02097517	2022-08-17 03:00	EDT	4.83	A
USGS	02097517	2022-08-17 03:15	EDT	4.70	A
USGS	02097517	2022-08-17 03:30	EDT	4.44	A
USGS	02097517	2022-08-17 03:45	EDT	4.44	A
USGS	02097517	2022-08-17 04:00	EDT	4.31	A
USGS	02097517	2022-08-17 04:15	EDT	4.19	A
USGS	02097517	2022-08-17 04:30	EDT	3.96	A
USGS	02097517	2022-08-17 04:45	EDT	3.84	A
USGS	02097517	2022-08-17 05:00	EDT	3.62	A
USGS	02097517	2022-08-17 05:15	EDT	3.51	A
USGS	02097517	2022-08-17 05:30	EDT	3.62	A
USGS	02097517	2022-08-17 05:45	EDT	3.62	A
USGS	02097517	2022-08-17 06:00	EDT	3.73	A
USGS	02097517	2022-08-17 06:15	EDT	3.84	A
USGS	02097517	2022-08-17 06:30	EDT	3.84	A
USGS	02097517	2022-08-17 06:45	EDT	3.73	A
USGS	02097517	2022-08-17 07:00	EDT	3.62	A
USGS	02097517	2022-08-17 07:15	EDT	3.41	A
USGS	02097517	2022-08-17 07:30	EDT	3.31	A
USGS	02097517	2022-08-17 07:45	EDT	3.31	A
USGS	02097517	2022-08-17 08:00	EDT	3.51	A
USGS	02097517	2022-08-17 08:15	EDT	3.62	A
USGS	02097517	2022-08-17 08:30	EDT	3.62	A
USGS	02097517	2022-08-17 08:45	EDT	3.73	A
USGS	02097517	2022-08-17 09:00	EDT	3.84	A
USGS	02097517	2022-08-17 09:15	EDT	4.44	A
USGS	02097517	2022-08-17 09:30	EDT	4.96	A
USGS	02097517	2022-08-17 09:45	EDT	5.39	A
USGS	02097517	2022-08-17 10:00	EDT	5.54	A
USGS	02097517	2022-08-17 10:15	EDT	5.84	A
USGS	02097517	2022-08-17 10:30	EDT	6.16	A
USGS	02097517	2022-08-17 10:45	EDT	6.16	A
USGS	02097517	2022-08-17 11:00	EDT	6.33	A
USGS	02097517	2022-08-17 11:15	EDT	6.67	A
USGS	02097517	2022-08-17 11:30	EDT	7.02	A
USGS	02097517	2022-08-17 11:45	EDT	7.02	A
USGS	02097517	2022-08-17 12:00	EDT	6.84	A
USGS	02097517	2022-08-17 12:15	EDT	6.67	A
USGS	02097517	2022-08-17 12:30	EDT	6.49	A
USGS	02097517	2022-08-17 12:45	EDT	6.67	A
USGS	02097517	2022-08-17 13:00	EDT	6.67	A
USGS	02097517	2022-08-17 13:15	EDT	6.67	A
USGS	02097517	2022-08-17 13:30	EDT	6.67	A
USGS	02097517	2022-08-17 13:45	EDT	6.84	A
USGS	02097517	2022-08-17 14:00	EDT	6.67	A
USGS	02097517	2022-08-17 14:15	EDT	6.67	A
USGS	02097517	2022-08-17 14:30	EDT	6.33	A
USGS	02097517	2022-08-17 14:45	EDT	6.16	A
USGS	02097517	2022-08-17 15:00	EDT	6.33	A
USGS	02097517	2022-08-17 15:15	EDT	6.16	A
USGS	02097517	2022-08-17 15:30	EDT	6.00	A
USGS	02097517	2022-08-17 15:45	EDT	6.00	A
USGS	02097517	2022-08-17 16:00	EDT	6.00	A
USGS	02097517	2022-08-17 16:15	EDT	5.84	A
USGS	02097517	2022-08-17 16:30	EDT	5.69	A
USGS	02097517	2022-08-17 16:45	EDT	5.69	A
USGS	02097517	2022-08-17 17:00	EDT	6.16	A
USGS	02097517	2022-08-17 17:15	EDT	6.33	A
USGS	02097517	2022-08-17 17:30	EDT	6.16	A
USGS	02097517	2022-08-17 17:45	EDT	6.16	A
USGS	02097517	2022-08-17 18:00	EDT	6.00	A
USGS	02097517	2022-08-17 18:15	EDT	5.84	A
USGS	02097517	2022-08-17 18:30	EDT	6.00	A
USGS	02097517	2022-08-17 18:45	EDT	6.16	A
USGS	02097517	2022-08-17 19:00	EDT	6.00	A
USGS	02097517	2022-08-17 19:15	EDT	5.84	A
USGS	02097517	2022-08-17 19:30	EDT	5.84	A
USGS	02097517	2022-08-17 19:45	EDT	5.69	A
USGS	02097517	2022-08-17 20:00	EDT	5.69	A
USGS	02097517	2022-08-17 20:15	EDT	5.69	A
USGS	02097517	2022-08-17 20:30	EDT	5.69	A
USGS	02097517	2022-08-17 20:45	EDT	5.84	A
USGS	02097517	2022-08-17 21:00	EDT	6.16	A
USGS	02097517	2022-08-17 21:15	EDT	6.33	A
USGS	02097517	2022-08-17 21:30	EDT	6.33	A
USGS	02097517	2022-08-17 21:45	EDT	6.16	A
USGS	02097517	2022-08-17 22:00	EDT	6.00	A
USGS	02097517	2022-08-17 22:15	EDT	6.00	A
USGS	02097517	2022-08-17 22:30	EDT	5.69	A
USGS	02097517	2022-08-17 22:45	EDT	4.83	A
USGS	02097517	2022-08-17 23:00	EDT	4.57	A
USGS	02097517	2022-08-17 23:15	EDT	5.54	A
USGS	02097517	2022-08-17 23:30	EDT	6.00	A
USGS	02097517	2022-08-17 23:45	EDT	6.33	A
USGS	02097517	2022-08-18 00:00	EDT	6.33	A
USGS	02097517	2022-08-18 00:15	EDT	6.67	A
USGS	02097517	2022-08-18 00:30	EDT	6.67	A
USGS	02097517	2022-08-18 00:45	EDT	6.67	A
USGS	02097517	2022-08-18 01:00	EDT	6.49	A
USGS	02097517	2022-08-18 01:15	EDT	6.16	A
USGS	02097517	2022-08-18 01:30	EDT	6.16	A
USGS	02097517	2022-08-18 01:45	EDT	5.69	A
USGS	02097517	2022-08-18 02:00	EDT	5.69	A
USGS	02097517	2022-08-18 02:15	EDT	5.39	A
USGS	02097517	2022-08-18 02:30	EDT	5.25	A
USGS	02097517	2022-08-18 02:45	EDT	5.25	A
USGS	02097517	2022-08-18 03:00	EDT	5.10	A
USGS	02097517	2022-08-18 03:15	EDT	4.96	A
USGS	02097517	2022-08-18 03:30	EDT	4.83	A
USGS	02097517	2022-08-18 03:45	EDT	4.57	A
USGS	02097517	2022-08-18 04:00	EDT	4.44	A
USGS	02097517	2022-08-18 04:15	EDT	4.31	A
USGS	02097517	2022-08-18 04:30	EDT	4.31	A
USGS	02097517	2022-08-18 04:45	EDT	4.19	A
USGS	02097517	2022-08-18 05:00	EDT	4.31	A
USGS	02097517	2022-08-18 05:15	EDT	4.31	A
USGS	02097517	2022-08-18 05:30	EDT	4.07	A
USGS	02097517	2022-08-18 05:45	EDT	3.96	A
USGS	02097517	2022-08-18 06:00	EDT	3.73	A
USGS	02097517	2022-08-18 06:15	EDT	3.73	A
USGS	02097517	2022-08-18 06:30	EDT	3.62	A
USGS	02097517	2022-08-18 06:45	EDT	3.51	A
USGS	02097517	2022-08-18 07:00	EDT	3.62	A
USGS	02097517	2022-08-18 07:15	EDT	3.41	A
USGS	02097517	2022-08-18 07:30	EDT	3.31	A
USGS	02097517	2022-08-18 07:45	EDT	3.31	A
USGS	02097517	2022-08-18 08:00	EDT	3.11	A
USGS	02097517	2022-08-18 08:15	EDT	3.21	A
USGS	02097517	2022-08-18 08:30	EDT	3.31	A
USGS	02097517	2022-08-18 08:45	EDT	3.41	A
USGS	02097517	2022-08-18 09:00	EDT	3.73	A
USGS	02097517	2022-08-18 09:15	EDT	4.31	A
USGS	02097517	2022-08-18 09:30	EDT	4.70	A
USGS	02097517	2022-08-18 09:45	EDT	5.25	A
USGS	02097517	2022-08-18 10:00	EDT	5.84	A
USGS	02097517	2022-08-18 10:15	EDT	6.16	A
USGS	02097517	2022-08-18 10:30	EDT	6.33	A
USGS	02097517	2022-08-18 10:45	EDT	6.33	A
USGS	02097517	2022-08-18 11:00	EDT	6.33	A
USGS	02097517	2022-08-18 11:15	EDT	6.16	A
USGS	02097517	2022-08-18 11:30	EDT	6.33	A
USGS	02097517	2022-08-18 11:45	EDT	6.49	A
USGS	02097517	2022-08-18 12:00	EDT	5.84	A
USGS	02097517	2022-08-18 12:15	EDT	5.10	A
USGS	02097517	2022-08-18 12:30	EDT	5.10	A
USGS	02097517	2022-08-18 12:45	EDT	5.84	A
USGS	02097517	2022-08-18 13:00	EDT	6.16	A
USGS	02097517	2022-08-18 13:15	EDT	6.33	A
USGS	02097517	2022-08-18 13:30	EDT	6.16	A
USGS	02097517	2022-08-18 13:45	EDT	6.00	A
USGS	02097517	2022-08-18 14:00	EDT	6.16	A
USGS	02097517	2022-08-18 14:15	EDT	6.33	A
USGS	02097517	2022-08-18 14:30	EDT	6.33	A
USGS	02097517	2022-08-18 14:45	EDT	6.33	A
USGS	02097517	2022-08-18 15:00	EDT	6.33	A
USGS	02097517	2022-08-18 15:15	EDT	6.16	A
USGS	02097517	2022-08-18 15:30	EDT	6.00	A
USGS	02097517	2022-08-18 15:45	EDT	6.16	A
USGS	02097517	2022-08-18 16:00	EDT	6.00	A
USGS	02097517	2022-08-18 16:15	EDT	6.00	A
USGS	02097517	2022-08-18 16:30	EDT	5.84	A
USGS	02097517	2022-08-18 16:45	EDT	5.84	A
USGS	02097517	2022-08-18 17:00	EDT	5.69	A
USGS	02097517	2022-08-18 17:15	EDT	5.84	A
USGS	02097517	2022-08-18 17:30	EDT	6.00	A
USGS	02097517	2022-08-18 17:45	EDT	5.84	A
USGS	02097517	2022-08-18 18:00	EDT	5.84	A
USGS	02097517	2022-08-18 18:15	EDT	5.84	A
USGS	02097517	2022-08-18 18:30	EDT	5.69	A
USGS	02097517	2022-08-18 18:45	EDT	5.69	A
USGS	02097517	2022-08-18 19:00	EDT	5.69	A
USGS	02097517	2022-08-18 19:15	EDT	5.69	A
USGS	02097517	2022-08-18 19:30	EDT	5.69	A
USGS	02097517	2022-08-18 19:45	EDT	5.84	A
USGS	02097517	2022-08-18 20:00	EDT	6.00	A
USGS	02097517	2022-08-18 20:15	EDT	6.16	A
USGS	02097517	2022-08-18 20:30	EDT	6.00	A
USGS	02097517	2022-08-18 20:45	EDT	5.84	A
USGS	02097517	2022-08-18 21:00	EDT	5.69	A
USGS	02097517	2022-08-18 21:15	EDT	5.54	A
USGS	02097517	2022-08-18 21:30	EDT	5.54	A
USGS	02097517	2022-08-18 21:45	EDT	5.54	A
USGS	02097517	2022-08-18 22:00	EDT	5.54	A
USGS	02097517	2022-08-18 22:15	EDT	5.54	A
USGS	02097517	2022-08-18 22:30	EDT	5.10	A
USGS	02097517	2022-08-18 22:45	EDT	4.31	A
USGS	02097517	2022-08-18 23:00	EDT	3.84	A
USGS	02097517	2022-08-18 23:15	EDT	4.70	A
USGS	02097517	2022-08-18 23:30	EDT	5.25	A
USGS	02097517	2022-08-18 23:45	EDT	5.84	A
USGS	02097517	2022-08-19 00:00	EDT	6.16	A
USGS	02097517	2022-08-19 00:15	EDT	6.33	A
USGS	02097517	2022-08-19 00:30	EDT	6.16	A
USGS	02097517	2022-08-19 00:45	EDT	6.00	A
USGS	02097517	2022-08-19 01:00	EDT	5.84	A
USGS	02097517	2022-08-19 01:15	EDT	5.69	A
USGS	02097517	2022-08-19 01:30	EDT	5.39	A
USGS	02097517	2022-08-19 01:45	EDT	5.25	A
USGS	02097517	2022-08-19 02:00	EDT	4.96	A
USGS	02097517	2022-08-19 02:15	EDT	4.83	A
USGS	02097517	2022-08-19 02:30	EDT	4.70	A
USGS	02097517	2022-08-19 02:45	EDT	4.44	A
USGS	02097517	2022-08-19 03:00	EDT	4.31	A
USGS	02097517	2022-08-19 03:15	EDT	4.44	A
USGS	02097517	2022-08-19 03:30	EDT	4.44	A
USGS	02097517	2022-08-19 03:45	EDT	4.19	A
USGS	02097517	2022-08-19 04:00	EDT	4.07	A
USGS	02097517	2022-08-19 04:15	EDT	3.73	A
USGS	02097517	2022-08-19 04:30	EDT	3.51	A
USGS	02097517	2022-08-19 04:45	EDT	3.41	A
USGS	02097517	2022-08-19 05:00	EDT	3.21	A
USGS	02097517	2022-08-19 05:15	EDT	3.02	A
USGS	02097517	2022-08-19 05:30	EDT	2.83	A
USGS	02097517	2022-08-19 05:45	EDT	2.66	A
USGS	02097517	2022-08-19 06:00	EDT	2.49	A
USGS	02097517	2022-08-19 06:15	EDT	2.26	A
USGS	02097517	2022-08-19 06:30	EDT	2.19	A
USGS	02097517	2022-08-19 06:45	EDT	2.04	A
USGS	02097517	2022-08-19 07:00	EDT	1.98	A
USGS	02097517	2022-08-19 07:15	EDT	2.26	A
USGS	02097517	2022-08-19 07:30	EDT	2.41	A
USGS	02097517	2022-08-19 07:45	EDT	2.66	A
USGS	02097517	2022-08-19 08:00	EDT	2.75	A
USGS	02097517	2022-08-19 08:15	EDT	2.83	A
USGS	02097517	2022-08-19 08:30	EDT	3.02	A
USGS	02097517	2022-08-19 08:45	EDT	3.11	A
USGS	02097517	2022-08-19 09:00	EDT	3.31	A
USGS	02097517	2022-08-19 09:15	EDT	3.62	A
USGS	02097517	2022-08-19 09:30	EDT	4.07	A
USGS	02097517	2022-08-19 09:45	EDT	4.44	A
USGS	02097517	2022-08-19 10:00	EDT	4.70	A
USGS	02097517	2022-08-19 10:15	EDT	4.96	A
USGS	02097517	2022-08-19 10:30	EDT	5.10	A
USGS	02097517	2022-08-19 10:45	EDT	5.39	A
USGS	02097517	2022-08-19 11:00	EDT	5.84	A
USGS	02097517	2022-08-19 11:15	EDT	6.00	A
USGS	02097517	2022-08-19 11:30	EDT	6.33	A
USGS	02097517	2022-08-19 11:45	EDT	6.33	A
USGS	02097517	2022-08-19 12:00	EDT	6.33	A
USGS	02097517	2022-08-19 12:15	EDT	6.49	A
USGS	02097517	2022-08-19 12:30	EDT	6.49	A
USGS	02097517	2022-08-19 12:45	EDT	6.49	A
USGS	02097517	2022-08-19 13:00	EDT	6.33	A
USGS	02097517	2022-08-19 13:15	EDT	6.33	A
USGS	02097517	2022-08-19 13:30	EDT	6.49	A
USGS	02097517	2022-08-19 13:45	EDT	6.33	A
USGS	02097517	2022-08-19 14:00	EDT	6.16	A
USGS	02097517	2022-08-19 14:15	EDT	6.16	A
USGS	02097517	2022-08-19 14:30	EDT	6.16	A
USGS	02097517	2022-08-19 14:45	EDT	6.33	A
USGS	02097517	2022-08-19 15:00	EDT	6.33	A
USGS	02097517	2022-08-19 15:15	EDT	6.49	A
USGS	02097517	2022-08-19 15:30	EDT	6.33	A
USGS	02097517	2022-08-19 15:45	EDT	6.16	A
USGS	02097517	2022-08-19 16:00	EDT	5.84	A
USGS	02097517	2022-08-19 16:15	EDT	5.84	A
USGS	02097517	2022-08-19 16:30	EDT	5.69	A
USGS	02097517	2022-08-19 16:45	EDT	5.69	A
USGS	02097517	2022-08-19 17:00	EDT	5.69	A
USGS	02097517	2022-08-19 17:15	EDT	5.54	A
USGS	02097517	2022-08-19 17:30	EDT	5.54	A
USGS	02097517	2022-08-19 17:45	EDT	5.39	A
USGS	02097517	2022-08-19 18:00	EDT	5.54	A
USGS	02097517	2022-08-19 18:15	EDT	5.54	A
USGS	02097517	2022-08-19 18:30	EDT	5.54	A
USGS	02097517	2022-08-19 18:45	EDT	5.69	A
USGS	02097517	2022-08-19 19:00	EDT	5.69	A
USGS	02097517	2022-08-19 19:15	EDT	5.84	A
USGS	02097517	2022-08-19 19:30	EDT	5.84	A
USGS	02097517	2022-08-19 19:45	EDT	5.69	A
USGS	02097517	2022-08-19 20:00	EDT	5.69	A
USGS	02097517	2022-08-19 20:15	EDT	5.54	A
USGS	02097517	2022-08-19 20:30	EDT	5.69	A
USGS	02097517	2022-08-19 20:45	EDT	6.00	A
USGS	02097517	2022-08-19 21:00	EDT	6.16	A
USGS	02097517	2022-08-19 21:15	EDT	6.00	A
USGS	02097517	2022-08-19 21:30	EDT	5.84	A
USGS	02097517	2022-08-19 21:45	EDT	5.54	A
USGS	02097517	2022-08-19 22:00	EDT	5.54	A
USGS	02097517	2022-08-19 22:15	EDT	5.54	A
USGS	02097517	2022-08-19 22:30	EDT	5.25	A
USGS	02097517	2022-08-19 22:45	EDT	4.57	A
USGS	02097517	2022-08-19 23:00	EDT	4.57	A
USGS	02097517	2022-08-19 23:15	EDT	5.10	A
USGS	02097517	2022-08-19 23:30	EDT	5.54	A
USGS	02097517	2022-08-19 23:45	EDT	5.84	A
USGS	02097517	2022-08-20 00:00	EDT	6.00	A
USGS	02097517	2022-08-20 00:15	EDT	6.00	A
USGS	02097517	2022-08-20 00:30	EDT	6.00	A
USGS	02097517	2022-08-20 00:45	EDT	6.00	A
USGS	02097517	2022-08-20 01:00	EDT	6.00	A
USGS	02097517	2022-08-20 01:15	EDT	5.84	A
USGS	02097517	2022-08-20 01:30	EDT	5.54	A
USGS	02097517	2022-08-20 01:45	EDT	5.39	A
USGS	02097517	2022-08-20 02:00	EDT	5.25	A
USGS	02097517	2022-08-20 02:15	EDT	5.25	A
USGS	02097517	2022-08-20 02:30	EDT	5.10	A
USGS	02097517	2022-08-20 02:45	EDT	4.96	A
USGS	02097517	2022-08-20 03:00	EDT	4.83	A
USGS	02097517	2022-08-20 03:15	EDT	4.96	A
USGS	02097517	2022-08-20 03:30	EDT	4.70	A
USGS	02097517	2022-08-20 03:45	EDT	4.57	A
USGS	02097517	2022-08-20 04:00	EDT	4.44	A
USGS	02097517	2022-08-20 04:15	EDT	4.31	A
USGS	02097517	2022-08-20 04:30	EDT	4.19	A
USGS	02097517	2022-08-20 04:45	EDT	4.07	A
USGS	02097517	2022-08-20 05:00	EDT	4.07	A
USGS	02097517	2022-08-20 05:15	EDT	3.84	A
USGS	02097517	2022-08-20 05:30	EDT	3.73	A
USGS	02097517	2022-08-20 05:45	EDT	3.62	A
USGS	02097517	2022-08-20 06:00	EDT	3.51	A
USGS	02097517	2022-08-20 06:15	EDT	3.51	A
USGS	02097517	2022-08-20 06:30	EDT	3.62	A
USGS	02097517	2022-08-20 06:45	EDT	3.62	A
USGS	02097517	2022-08-20 07:00	EDT	3.62	A
USGS	02097517	2022-08-20 07:15	EDT	3.41	A
USGS	02097517	2022-08-20 07:30	EDT	3.21	A
USGS	02097517	2022-08-20 07:45	EDT	3.21	A
USGS	02097517	2022-08-20 08:00	EDT	3.21	A
USGS	02097517	2022-08-20 08:15	EDT	3.21	A
USGS	02097517	2022-08-20 08:30	EDT	3.41	A
USGS	02097517	2022-08-20 08:45	EDT	3.62	A
USGS	02097517	2022-08-20 09:00	EDT	3.62	A
USGS	02097517	2022-08-20 09:15	EDT	3.62	A
USGS	02097517	2022-08-20 09:30	EDT	3.73	A
USGS	02097517	2022-08-20 09:45	EDT	3.96	A
USGS	02097517	2022-08-20 10:00	EDT	4.07	A
USGS	02097517	2022-08-20 10:15	EDT	4.44	A
USGS	02097517	2022-08-20 10:30	EDT	4.57	A
USGS	02097517	2022-08-20 10:45	EDT	4.70	A
